  0-th token(type:28) on line 1 : PROGRAM
  1-th token(type:39) on line 1 : mytest
  2-th token(type:52) on line 1 : (
  3-th token(type:39) on line 1 : input
  4-th token(type:43) on line 1 : ,
  5-th token(type:39) on line 1 : output
  6-th token(type:43) on line 1 : ,
  7-th token(type:39) on line 1 : error
  8-th token(type:59) on line 1 : )
  9-th token(type:60) on line 1 : ;
 10-th token(type:66) on line 3 : //incorrect symbols test
 11-th token(type:36) on line 4 : var
 12-th token(type:39) on line 4 : a
 13-th token(type:43) on line 4 : ,
 14-th token(type:69) on line 4 : 0
 15-th token(type:39) on line 4 : aa
 16-th token(type:43) on line 4 : ,
 17-th token(type:39) on line 4 : bb
 18-th token(type:42) on line 4 : :
 19-th token(type:70) on line 4 : integer
 20-th token(type:60) on line 4 : ;
 21-th token(type:36) on line 5 : var
 22-th token(type:39) on line 5 : gg
 23-th token(type:43) on line 5 : ,
 24-th token(type:39) on line 5 : hh
 25-th token(type:43) on line 5 : ,
 26-th token(type:39) on line 5 : mm
 27-th token(type:43) on line 5 : ,
 28-th token(type:39) on line 5 : pp
 29-th token(type:43) on line 5 : ,
 30-th token(type:39) on line 5 : pp
Lexical analyzer error at line 5 : @
Lexical analyzer error at line 5 : $
 31-th token(type:69) on line 5 : 5
 32-th token(type:42) on line 5 : :
 33-th token(type:68) on line 5 : real
 34-th token(type:60) on line 5 : ;
 35-th token(type:36) on line 8 : var
 36-th token(type:39) on line 8 : di
 37-th token(type:43) on line 8 : ,
 38-th token(type:39) on line 8 : ei
 39-th token(type:43) on line 8 : ,
 40-th token(type:39) on line 8 : ei00
 41-th token(type:43) on line 8 : ,
 42-th token(type:39) on line 8 : ei
 43-th token(type:60) on line 8 : ;
 44-th token(type:43) on line 8 : ,
 45-th token(type:54) on line 8 : -
 46-th token(type:42) on line 8 : :
 47-th token(type:2) on line 8 : array
 48-th token(type:50) on line 8 : [
 49-th token(type:69) on line 8 : 1
Lexical analyzer error at line 8 :  
 50-th token(type:46) on line 8 : ..
 51-th token(type:69) on line 8 : 10
Lexical analyzer error at line 8 :  
 52-th token(type:57) on line 8 : ]
 53-th token(type:21) on line 8 : of
 54-th token(type:70) on line 8 : integer
 55-th token(type:60) on line 8 : ;
 56-th token(type:36) on line 9 : var
 57-th token(type:39) on line 9 : dr
 58-th token(type:43) on line 9 : ,
 59-th token(type:39) on line 9 : er
 60-th token(type:43) on line 9 : ,
 61-th token(type:39) on line 9 : er00
 62-th token(type:43) on line 9 : ,
 63-th token(type:39) on line 9 : er
 64-th token(type:60) on line 9 : ;
 65-th token(type:43) on line 9 : ,
 66-th token(type:54) on line 9 : -
 67-th token(type:42) on line 9 : :
 68-th token(type:2) on line 9 : array
 69-th token(type:50) on line 9 : [
 70-th token(type:69) on line 9 : 1
Lexical analyzer error at line 9 :  
 71-th token(type:46) on line 9 : ..
 72-th token(type:69) on line 9 : 10
Lexical analyzer error at line 9 :  
 73-th token(type:57) on line 9 : ]
 74-th token(type:21) on line 9 : of
 75-th token(type:68) on line 9 : real
 76-th token(type:60) on line 9 : ;
 77-th token(type:36) on line 11 : var
 78-th token(type:39) on line 11 : kki
 79-th token(type:43) on line 11 : ,
 80-th token(type:39) on line 11 : iii
 81-th token(type:42) on line 11 : :
 82-th token(type:2) on line 11 : array
 83-th token(type:50) on line 11 : [
 84-th token(type:69) on line 11 : 23
Lexical analyzer error at line 11 :  
 85-th token(type:46) on line 11 : ..
